id_meteo;Date;Lieu;Vitesse_vent_moyen;Humidité;Température
280;2022-04-29 06:00:00+00:00;Métropole du Grand Paris;4.1;70.0;11.300000000000011
281;2022-05-02 00:00:00+00:00;Métropole du Grand Paris;2.2;67.0;9.900000000000034
282;2022-05-06 18:00:00+00:00;Métropole du Grand Paris;3.6;41.0;19.80000000000001
283;2022-05-07 21:00:00+00:00;Métropole du Grand Paris;2.5;60.0;16.200000000000045
284;2022-05-08 00:00:00+00:00;Métropole du Grand Paris;3.3;81.0;13.900000000000034
285;2022-05-09 12:00:00+00:00;Métropole du Grand Paris;1.1;44.0;24.100000000000023
286;2022-05-11 15:00:00+00:00;Métropole du Grand Paris;8.9;42.0;25.200000000000045
287;2022-03-12 06:00:00+00:00;Métropole du Grand Paris;2.5;96.0;5.300000000000011
288;2022-03-15 03:00:00+00:00;Métropole du Grand Paris;1.5;85.0;8.5
289;2022-03-22 12:00:00+00:00;Métropole du Grand Paris;4.2;35.0;16.400000000000034
290;2022-03-23 00:00:00+00:00;Métropole du Grand Paris;1.2;62.0;8.5
291;2022-02-17 00:00:00+00:00;Métropole du Grand Paris;8.4;90.0;13.0
292;2022-02-27 06:00:00+00:00;Métropole du Grand Paris;2.3;78.0;0.3000000000000113
293;2022-03-01 06:00:00+00:00;Métropole du Grand Paris;0.6;84.0;2.0
294;2022-03-03 18:00:00+00:00;Métropole du Grand Paris;0.9;67.0;10.800000000000011
295;2022-04-01 06:00:00+00:00;Métropole du Grand Paris;8.7;85.0;1.900000000000034
296;2022-04-01 15:00:00+00:00;Métropole du Grand Paris;8.0;89.0;1.900000000000034
297;2022-04-04 15:00:00+00:00;Métropole du Grand Paris;6.8;58.0;9.200000000000044
298;2022-04-04 21:00:00+00:00;Métropole du Grand Paris;5.0;63.0;8.100000000000023
